ts,visitor_uuid,visitor_source,visitor_device,visitor_useragent,visitor_ip,visitor_country,visitor_referrer,env_type,env_doc_id,event_type,subject_type,subject_doc_id,subject_page,cause_type,event_readtime,env_ranking,env_build,env_name,env_component,visitor_username,event_index,subject_infoboxid,subject_url,cause_position,cause_adid,env_adid,cause_embedid
1393631985,684deb5eee141253,external,browser,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36",bfb58a0ac4831f4c,BG,64f729926497515c,reader,140228073700-0f508de1a821f5230c4a55c88a95ffa3,pagereadtime,doc,140228073700-0f508de1a821f5230c4a55c88a95ffa3,7.0,,4000.0,,,,,,,,,,,,
1393631984,ab69fc99e7391f47,external,browser,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36",cadd71936e3804a7,RS,64f729926497515c,reader,131001110233-66ed039054ef958b5138fbec036d1129,impression,doc,131001110233-66ed039054ef958b5138fbec036d1129,0.0,impression,,,,,,,,,,,,,
1393631984,1cf8848c4fb2441b,internal,browser,"Mozilla/5.0 (iPad; CPU OS 6_1_3 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B329 Safari/8536.25",8d751ebd82af8b98,MX,3e83a40152acedbd,reader,140108075309-ed9a77d9e147139fd81a204a2e98c308,pagereadtime,doc,140108075309-ed9a77d9e147139fd81a204a2e98c308,38.0,,16423.0,,,,,,,,,,,,
1393631984,1cf8848c4fb2441b,internal,browser,"Mozilla/5.0 (iPad; CPU OS 6_1_3 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B329 Safari/8536.25",8d751ebd82af8b98,MX,3e83a40152acedbd,reader,140108075309-ed9a77d9e147139fd81a204a2e98c308,impression,doc,140108075309-ed9a77d9e147139fd81a204a2e98c308,39.0,page,,,,,,,,,,,,,
1393631984,1cf8848c4fb2441b,internal,browser,"Mozilla/5.0 (iPad; CPU OS 6_1_3 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B329 Safari/8536.25",8d751ebd82af8b98,MX,3e83a40152acedbd,reader,140108075309-ed9a77d9e147139fd81a204a2e98c308,pageread,doc,140108075309-ed9a77d9e147139fd81a204a2e98c308,39.0,,,,,,,,,,,,,,
1393631984,4c9508e0c963bedb,external,browser,Mozilla/5.0 (Windows NT 6.1; rv:27.0) Gecko/20100101 Firefox/27.0,b1c3cb8fe121981d,AR,64f729926497515c,reader,120703215457-0fc83e43d9294a6288c4f380f3acdeae,impression,doc,140225204804-e99c4246b12bb3fdb2b5c1ebea006e72,1.0,related,,,,,,,,,,0.0,,,
1393631984,4c9508e0c963bedb,external,browser,Mozilla/5.0 (Windows NT 6.1; rv:27.0) Gecko/20100101 Firefox/27.0,b1c3cb8fe121981d,AR,64f729926497515c,reader,120703215457-0fc83e43d9294a6288c4f380f3acdeae,impression,doc,131230133423-212624d8d09b04f7e8702a75c7ffe460,1.0,related,,,,,,,,,,1.0,,,
1393631984,4c9508e0c963bedb,external,browser,Mozilla/5.0 (Windows NT 6.1; rv:27.0) Gecko/20100101 Firefox/27.0,b1c3cb8fe121981d,AR,64f729926497515c,reader,120703215457-0fc83e43d9294a6288c4f380f3acdeae,impression,doc,130408224504-22a34491944b4b818c430d168f3c9e1c,1.0,related,,,,,,,,,,2.0,,,
1393631985,74ff840a4553f835,external,browser,Mozilla/5.0 (Windows NT 5.1; rv:27.0) Gecko/20100101 Firefox/27.0,e3b17d1dd4b8a654,US,64f729926497515c,reader,140228013432-7eb4393775b14ea47d7cee31dbeaba20,impression,doc,140228013432-7eb4393775b14ea47d7cee31dbeaba20,0.0,impression,,,,,,,,,,,,,
1393631985,74ff840a4553f835,external,browser,Mozilla/5.0 (Windows NT 5.1; rv:27.0) Gecko/20100101 Firefox/27.0,e3b17d1dd4b8a654,US,64f729926497515c,reader,140228013432-7eb4393775b14ea47d7cee31dbeaba20,impression,doc,140228013432-7eb4393775b14ea47d7cee31dbeaba20,1.0,page,,,,,,,,,,,,,
1393631985,37b0231dc4661efa,external,browser,"Mozilla/5.0 (iPad; CPU OS 6_1_3 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B329 Safari/8536.25",07e87285eb86d325,GB,3cd66abf0e1c5639,reader,140219164346-8ba72e8ac207e903417a8fbc4810b9b7,impression,doc,140219164346-8ba72e8ac207e903417a8fbc4810b9b7,0.0,impression,,,,,,88e603304d3c0276,,,,,,,
1393631985,37b0231dc4661efa,external,browser,"Mozilla/5.0 (iPad; CPU OS 6_1_3 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B329 Safari/8536.25",07e87285eb86d325,GB,3cd66abf0e1c5639,reader,140219164346-8ba72e8ac207e903417a8fbc4810b9b7,impression,doc,140219164346-8ba72e8ac207e903417a8fbc4810b9b7,1.0,page,,,,,,88e603304d3c0276,,,,,,,
1393631985,68228cf84e94fc14,external,browser,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36",4d337887847c65d5,CO,64f729926497515c,reader,131224223158-772af30db23493c0dce225bdb012a233,impression,doc,131224223158-772af30db23493c0dce225bdb012a233,22.0,page,,,,,,,,,,,,,
1393631985,68228cf84e94fc14,external,browser,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36",4d337887847c65d5,CO,64f729926497515c,reader,131224223158-772af30db23493c0dce225bdb012a233,impression,doc,131224223158-772af30db23493c0dce225bdb012a233,23.0,page,,,,,,,,,,,,,
1393631985,ffa7c7e36404bb06,external,browser,Mozilla/5.0 (Windows NT 6.0; rv:27.0) Gecko/20100101 Firefox/27.0,07ec4bf725859d82,US,64f729926497515c,reader,140228164957-1cac2afbb5c1165569fbf85015162973,pagereadtime,doc,140228164957-1cac2afbb5c1165569fbf85015162973,20.0,,1516.0,,,,,,,,,,,,
1393631985,ffa7c7e36404bb06,external,browser,Mozilla/5.0 (Windows NT 6.0; rv:27.0) Gecko/20100101 Firefox/27.0,07ec4bf725859d82,US,64f729926497515c,reader,140228164957-1cac2afbb5c1165569fbf85015162973,pagereadtime,doc,140228164957-1cac2afbb5c1165569fbf85015162973,21.0,,1524.0,,,,,,,,,,,,
